"","Abbreviation","Title","FoR1","FoR.method","FoRCode","Category"
"1316","ISRN Oncol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1317","ISRN Ophthalmol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1318","ISRN Otolaryngol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1319","ISRN Pediatr","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1320","ISRN Pharm","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1321","ISRN Pharmacol","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1322","ISRN Psychiatry","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1323","ISRN Rheumatol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1324","ISRN Stroke","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1325","ISRN Surg","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1326","ISRN Toxicol","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1327","ISRN Urol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1328","ISRN Vet Sci","","Veterinary Sciences","Chosen.by.Luke","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"1329","ISRN Zool","","Zoology","Chosen.by.Luke","Biological sciences","Zoology"
"1330","Issues Ment Health Nurs","Issues in Mental Health Nursing","Nursing","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1331","Ital J Pediatr","Italian Journal of Paediatrics","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1332","J AAPOS","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1333","J Abnorm Child Psychol","","Psychology","Chosen.by.Luke","Psychology and cognitive sciences","Psychology and sociology"
"1334","J Abnorm Psychol","","Psychology","Chosen.by.Luke","Psychology and cognitive sciences","Psychology and sociology"
"1335","J Acad Nutr Diet","","Nutrition And Dietetics","Chosen.by.Luke","Medical and health sciences","Nutrition And Dietetics"
"1336","J Acquir Immune Defic Syndr","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1337","J Addict","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1338","J Addict Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1339","J Addict Res Ther","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1340","J Adolesc","Journal of Adolescence","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1341","J Adolesc Health","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1342","J Adv Prosthodont","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1343","J Affect Disord","Journal of Affective Disorders","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1344","J Aging Res","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1345","J Agric Food Chem","Journal of Agricultural and Food Chemistry","Chemical Sciences","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"1346","J AIDS Clin Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1347","J Allergy (Cairo)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1348","J Allergy Clin Immunol","Journal of Allergy and Clinical Immunology","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1349","J Alzheimers Dis","Journal of Alzheimer's Disease","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1350","J Alzheimers Dis Parkinsonism","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1351","J Am Acad Child Adolesc Psychiatry","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1352","J Am Chem Soc","","Chemical Sciences","Chosen.by.Luke","Chemical sciences","Chemistry and geology"
"1353","J Am Coll Cardiol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1354","J Am Coll Nutr","","Nutrition And Dietetics","Chosen.by.Luke","Medical and health sciences","Nutrition And Dietetics"
"1355","J Am Geriatr Soc","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1356","J Am Heart Assoc","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1357","J Am Med Dir Assoc","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1358","J Am Med Inform Assoc","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1359","J Am Soc Nephrol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1360","J Am Water Resour Assoc","","Environmental Sciences","Chosen.by.Luke","Environmental sciences","Ecology, evolution and earth sciences"
"1361","J Amino Acids","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1362","J Anaesthesiol Clin Pharmacol","Journal of Anaesthesiology Clinical Pharmacology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1363","J Anal Methods Chem","","Chemical Sciences","Chosen.by.Luke","Chemical sciences","Chemistry and geology"
"1364","J Anat","Journal of Anatomy","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"1365","J Anesth","Journal of Anesthesia","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1366","J Angiogenes Res","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1367","J Anim Sci Biotechnol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1368","J Antimicrob Chemother","Journal of Antimicrobial Chemotherapy","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1369","J Anxiety Disord","Journal of Anxiety Disorders","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1370","J Appl Anim Welf Sci","","Veterinary Sciences","Chosen.by.Luke","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"1371","J Appl Genet","","Genetics ","Chosen.by.Luke","Biological sciences","Genetics"
"1372","J Appl Oral Sci","Journal of Applied Oral Science","Dentistry","Chosen.by.ERA","Medical and health sciences","Dentistry"
"1373","J Appl Phycol","Journal of Applied Phycology","Fisheries Sciences","Chosen.by.ERA","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"1374","J Appl Physiol (1985)","Journal of Applied Physiology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1375","J Aquat Anim Health","Journal of Aquatic Animal Health","Fisheries Sciences","Chosen.by.ERA","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"1376","J Assist Reprod Genet","Journal of Assisted Reproduction and Genetics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1377","J Assoc Res Otolaryngol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1378","J Asthma","Journal of Asthma","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1379","J Asthma Allergy","Journal of Asthma and Allergy","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1380","J Autism Dev Disord","Journal of Autism and Developmental Disorders","Education","Chosen.by.ERA","Education","Education"
"1381","J Autoimmun","Journal of Autoimmunity","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1382","J Autoimmune Dis","","Immunology","Chosen.by.Luke","Medical and health sciences","Immunology"
"1383","J Ayurveda Integr Med","Journal of Ayurveda and Integrative Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1384","J Bacteriol","Journal of Bacteriology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1385","J Basic Clin Pharm","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1386","J Behav Health Serv Res","Journal of Behavioral Health Services and Research","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"1387","J Behav Med","Journal of Behavioral Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1388","J Behav Ther Exp Psychiatry","Journal of Behavior Therapy and Experimental Psychiatry","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1389","J Biogeogr","Journal of Biogeography","Earth Sciences","Chosen.by.ERA","Earth sciences","Ecology, evolution and earth sciences"
"1390","J Biol","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1391","J Biol Chem","Journal of Biological Chemistry","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1392","J Biol Eng","","Biomedical Engineering ","Chosen.by.Luke","Engineering","Biomedical Engineering"
"1393","J Biol Inorg Chem","Journal of Biological Inorganic Chemistry","Inorganic Chemistry","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"1394","J Biol Phys","Journal of Biological Physics: an international journal for the formulation and application of physical and mathematical models in the biological sciences","Other Physical Sciences","Chosen.by.ERA","Physical sciences","Informatics, mathematics and physics"
"1395","J Biomech","Journal of Biomechanics","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"1396","J Biomed Biotechnol","Journal of Biomedicine and Biotechnology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1397","J Biomed Discov Collab","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1398","J Biomed Mater Res B Appl Biomater","Journal of Biomedical Materials Research Part B: Applied Biomaterials","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"1399","J Biomed Opt","Journal of Biomedical Optics","Optical Physics","Chosen.by.ERA","Physical sciences","Informatics, mathematics and physics"
"1400","J Biomed Res","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1401","J Biomed Sci","Journal of Biomedical Science","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
